order_id,customer_name,email,product_name,category,quantity,unit_price,amount,order_date,status
ORD00050,Eric Drake,andrewsanchez@example.com,Popular Lite,electronics,3,178.82,536.46,2026-07-27,refunded
ORD00051,Jason Soto,jennifercruz@example.com,Either Pro,electronics,3,93.39,280.17,2026-05-25,cancelled
ORD00052,Stephanie Dalton,osbornejeffery@example.net,National Lite,books,5,492.2,2461.0,2026-06-22,completed
ORD00053,Sylvia Martinez,lauriecontreras@example.net,Physical Plus,electronics,5,463.16,2315.8,2026-06-09,pending
ORD00054,Jessica Briggs,jrivas@example.com,Watch Lite,toys,3,333.38,1000.14,2026-05-26,completed
ORD00055,Joanna Walton,katie87@example.net,Edge Plus,home,4,350.12,1400.48,2026-06-05,pending
ORD00056,Dustin Nelson,patricia12@example.org,During Max,toys,5,153.97,769.85,2026-06-15,completed
ORD00057,Daniel Perry,amy60@example.org,There,sports,3,235.17,705.51,2026-06-18,refunded
ORD00058,Lauren Dominguez,wwoods@example.com,Some Max,sports,1,145.47,145.47,2026-06-16,cancelled
ORD00059,Sara Medina,tracynelson@example.com,Air Lite,clothing,2,77.94,155.88,2026-06-15,completed
ORD00060,Rebecca Ramsey,ncalhoun@example.net,Agreement Pro,books,4,443.64,1774.56,2026-08-01,pending
ORD00061,Mary Miller,dtaylor@example.org,Apply Max,sports,1,446.87,446.87,2026-06-04,completed
ORD00062,Jesse Rogers,aramirez@example.com,They,books,1,280.92,280.92,2026-05-19,completed
ORD00063,Joshua Cooke,jeffrey10@example.org,End,toys,3,475.27,1425.81,2026-05-29,refunded
ORD00064,Christian Martinez,elliottjeffery@example.net,Establish,books,2,373.11,746.22,2026-07-20,refunded
ORD00065,Lawrence Adkins,stricklandfrank@example.com,Box Lite,toys,4,315.24,1260.96,2026-07-03,cancelled
ORD00066,Laura Odonnell,tsanders@example.org,Bag Lite,home,5,44.89,224.45,2026-07-04,pending
ORD00067,Dana Terry,melissa91@example.net,Stay Pro,books,4,168.79,675.16,2026-05-15,refunded
ORD00068,Mary Jones,alexander67@example.org,Lead,sports,1,429.08,429.08,2026-08-06,refunded
ORD00069,Sandra Zimmerman,hthompson@example.net,Expect Plus,books,5,375.02,1875.1,2026-07-06,pending
ORD00070,Patricia Marshall,marcus31@example.com,Upon Plus,home,4,363.47,1453.88,2026-06-21,refunded
ORD00071,Laura Barnett,anthony52@example.com,Difference Plus,toys,5,333.18,1665.9,2026-06-12,completed
ORD00072,Douglas Carlson,angela83@example.org,Effort Pro,home,4,167.04,668.16,2026-07-15,refunded
ORD00073,Peter Vaughn DDS,bwest@example.org,Financial Plus,home,1,237.8,237.8,2026-05-31,completed
ORD00074,Elizabeth Perkins,wtran@example.com,Skill Pro,electronics,2,103.68,207.36,2026-06-30,completed
ORD00075,Jesse Parker,davidlee@example.org,Situation Pro,toys,2,235.19,470.38,2026-06-29,cancelled
ORD00076,Cathy Robinson,lhill@example.net,Picture Pro,clothing,3,58.51,175.53,2026-06-06,completed
ORD00077,Cory Perez,kevinerickson@example.org,Eye Plus,books,2,42.62,85.24,2026-05-16,pending
ORD00078,Edgar Raymond,agarcia@example.net,Feel,electronics,5,392.4,1962.0,2026-06-23,cancelled
ORD00079,Cody Williams,ewilson@example.com,Million Lite,electronics,4,412.05,1648.2,2026-05-18,completed
ORD00080,Amy Hernandez,christopher31@example.net,South Plus,sports,2,220.57,441.14,2026-06-18,cancelled
ORD00081,Lisa Rowe,chayes@example.com,Trade Plus,books,5,137.86,689.3,2026-07-03,pending
ORD00082,Keith Brown,mezajared@example.org,Everything Max,books,5,307.11,1535.55,2026-07-10,refunded
ORD00083,Christopher Jones,ortizhannah@example.com,Film Plus,clothing,3,399.93,1199.79,2026-05-14,cancelled
ORD00084,Douglas Heath,mcdanielsandra@example.net,Perform,electronics,5,474.29,2371.45,2026-07-10,completed
ORD00085,Jessica Stephens,rebekahserrano@example.org,As Max,sports,-1,324.72,1298.88,2026-05-26,refunded
ORD00086,Paul Carroll,scott74@example.net,Interesting Plus,sports,2,156.57,313.14,2026-08-04,cancelled
ORD00087,Katherine Miller,prestonjessica@example.net,Enough,home,3,352.91,1058.73,2026-05-14,cancelled
ORD00088,Michael Valencia,keyemily@example.com,Part Lite,electronics,5,475.68,2378.4,2026-05-15,pending
ORD00089,Julie Pearson,howard96@example.net,Teach,toys,5,145.08,725.4,2026-06-25,completed
ORD00090,Gregory Cook,hodgemark@example.net,Mission Lite,electronics,5,67.66,338.3,2026-06-06,completed
ORD00091,Robin Pierce,qmiller@example.com,Business Max,sports,4,55.78,223.12,2026-08-07,completed
ORD00092,Jose Travis,mgutierrez@example.net,High Max,electronics,3,470.83,1412.49,2026-07-07,refunded
ORD00093,Mr. Anthony Adams Jr.,samuel71@example.org,Professor,sports,1,80.1,80.1,2026-07-05,cancelled
ORD00094,Christopher Pierce,hdavis@example.com,Your Plus,toys,5,396.42,1982.1,2026-05-22,pending
ORD00095,Kathleen Moran,robert77@example.org,Loss Lite,toys,4,156.16,624.64,2026-06-30,completed
ORD00096,Thomas Romero,michellehill@example.com,Grow Max,sports,2,136.0,272.0,2026-08-04,completed
ORD00097,Samantha Campbell,mary97@example.org,Likely Pro,books,4,346.24,1384.96,2026-06-29,refunded
ORD00098,Juan Daniels,mcantu@example.net,Edge Plus,electronics,2,462.34,924.68,2026-07-02,pending
ORD00099,Reginald Williams,zthornton@example.com,Imagine Lite,clothing,1,34.52,34.52,2026-08-08,cancelled
ORD00100,Marissa Hernandez,martineztammy@example.com,True Plus,electronics,4,345.9,1383.6,2026-05-21,refunded
ORD00101,Ariana Lozano,bowenrobert@example.net,Clear Pro,toys,1,445.26,445.26,2026-05-18,cancelled
ORD00102,Deborah Hanson,vsantos@example.net,Town,toys,1,499.79,499.79,2026-06-29,cancelled
ORD00103,Lori Clay,cbrennan@example.net,Authority,sports,4,458.46,1833.84,2026-06-02,pending
ORD00104,Donna Perez,hamiltoncorey@example.net,Score Pro,books,3,207.13,621.39,2026-07-29,cancelled
ORD00105,Michael Berger,nguyenbrian@example.com,House Plus,home,4,407.72,1630.88,2026-06-19,completed
ORD00106,Jason Maldonado,georgemiller@example.com,President Plus,toys,1,330.54,330.54,2026-07-12,refunded
ORD00107,Mr. David Little MD,nolansteven@example.com,Research Plus,sports,4,381.2,1524.8,2026-06-30,pending
ORD00108,Tony Huerta,danielle64@example.com,Through Plus,electronics,1,486.71,,2026-06-08,pending
ORD00109,Dr. Ashley James MD,victoria40@example.net,Individual Plus,electronics,2,496.17,992.34,2026-06-05,completed
ORD00110,Melissa Garner,lozanojulie@example.com,Stand Plus,sports,3,256.89,770.67,2026-07-22,cancelled
ORD00111,Heather Fields,erica21@example.net,Race Plus,toys,2,194.88,389.76,2026-05-15,pending
ORD00112,Amanda Diaz,christopherphillips@example.net,Just Plus,home,5,137.25,686.25,2026-05-27,completed
ORD00113,Joshua Mata,maria47@example.com,Skin Plus,clothing,4,271.6,1086.4,2026-07-29,cancelled
ORD00114,Julie Jones,michelleramsey@example.com,Throughout Lite,clothing,2,288.04,576.08,2026-07-23,pending
ORD00115,Richard Smith,gibsonemily@example.net,Everybody Plus,sports,4,196.11,784.44,2026-07-03,pending
ORD00116,Teresa Rodriguez,thomasharvey@example.net,Generation,home,1,437.72,,2026-08-02,refunded
ORD00117,Arthur Colon,debra12@example.org,Young Max,books,2,42.04,84.08,2026-05-15,cancelled
ORD00118,Audrey Young DDS,qchavez@example.net,Same Lite,sports,5,193.1,965.5,2026-08-05,cancelled
ORD00119,Patrick Moore,fpena@example.net,Involve,electronics,5,38.87,194.35,2026-08-04,cancelled
ORD00120,Michael Robinson,xsampson@example.org,Rich Pro,sports,1,224.62,224.62,2026-06-14,cancelled
ORD00121,Maria Brown,james17@example.org,Recognize Lite,home,3,218.19,654.57,2026-05-31,pending
ORD00122,Tricia Williams,john29@example.org,Authority Max,clothing,1,306.7,306.7,2026-07-25,refunded
ORD00123,Laurie Li,markhernandez@example.net,Able Max,clothing,-1,320.76,1283.04,2026-06-05,refunded
ORD00124,Dr. Kimberly Lindsey,guerreroanthony@example.org,Help Lite,sports,5,83.2,416.0,2026-07-22,refunded
ORD00125,Franklin Thompson,martinezrobert@example.org,Skill Plus,sports,3,231.13,693.39,2026-05-17,cancelled
ORD00126,Ivan Wheeler,ngordon@example.org,Short Max,books,5,182.68,913.4,2026-07-21,cancelled
ORD00127,Kelly Ellis,browntimothy@example.com,Last Plus,home,1,285.13,285.13,2026-07-12,completed
ORD00128,Theodore Jones Jr.,cameronhill@example.net,Pay Lite,clothing,5,401.96,2009.8,2026-06-30,pending
ORD00129,Zachary Schmidt,bwagner@example.org,Student Max,sports,1,452.18,452.18,2026-07-14,completed
ORD00130,Marilyn Mack,russellbeasley@example.com,Group Max,electronics,3,166.73,500.19,2026-07-25,refunded
ORD00131,Nicholas Edwards,elizabeth52@example.net,Wind Lite,toys,5,457.18,2285.9,2026-06-23,pending
ORD00132,Bradley Reynolds,lisa80@example.net,Or Lite,sports,3,403.1,1209.3,2026-07-01,refunded
ORD00133,Jennifer Russo,,Field Plus,toys,3,49.7,149.1,2026-07-05,refunded
ORD00134,Kenneth Lewis,gwalker@example.com,Through Lite,toys,4,412.1,1648.4,2026-07-01,cancelled
ORD00135,Donald Perez,xbruce@example.net,Positive,home,5,114.58,572.9,2026-07-11,completed
ORD00136,Lisa Barrett,anthony44@example.com,Have Plus,electronics,2,27.45,54.9,2026-05-12,completed
ORD00137,Kylie Morales,joycebonilla@example.org,Skin,clothing,4,229.55,918.2,2026-06-28,refunded
ORD00138,Jesse Moore,jennifer99@example.org,Use Pro,books,5,207.02,1035.1,2026-05-16,cancelled
ORD00139,Luke Craig,scott67@example.net,Letter Max,home,1,490.56,490.56,2026-06-18,cancelled
ORD00140,Jose Reed,campbellerika@example.com,New Plus,home,2,484.26,968.52,2026-07-11,refunded
ORD00141,James Greene,harrissierra@example.org,South Pro,electronics,3,125.57,376.71,2026-06-03,pending
ORD00142,Adam Burgess,davidpatel@example.org,Month,clothing,5,111.9,559.5,2026-07-01,pending
ORD00143,Heather Sanders,grahamsteve@example.org,Training Pro,home,2,493.83,987.66,2026-06-09,cancelled
ORD00144,Jared Bowman,darius05@example.org,Suddenly Max,electronics,-1,396.04,1188.12,2026-08-05,pending
ORD00145,Michael Cox,prichard@example.com,Perform Max,sports,4,265.41,1061.64,2026-06-17,completed
ORD00146,Seth Reese,masonjackson@example.net,Property Pro,books,5,114.67,573.35,2026-05-22,completed
ORD00147,Susan Bailey,joelthomas@example.org,Consumer Lite,books,1,35.11,35.11,2026-07-05,refunded
ORD00148,Mary Thompson,kmarshall@example.net,List Plus,electronics,1,164.45,164.45,2026-07-12,pending
ORD00149,Maria Downs,michelle52@example.com,Author,sports,3,193.55,580.65,2026-06-23,cancelled
ORD00150,Rebecca Vargas,william47@example.com,Always Pro,sports,5,361.82,1809.1,2026-05-17,pending
ORD00151,Angela Lin,gilbertwilliam@example.com,Partner Plus,books,4,366.16,1464.64,2026-06-30,cancelled
ORD00152,Stephanie Cole,marcalvarez@example.org,Assume Max,sports,4,38.23,152.92,2026-06-21,completed
ORD00153,Sara Haas,wagnergerald@example.org,Second Max,toys,1,295.3,295.3,2026-06-20,cancelled
ORD00154,Joseph Moore,samantha66@example.com,Respond Plus,sports,1,484.36,484.36,2026-07-04,cancelled
ORD00155,Maria Jones,grantpaul@example.com,Shake Plus,clothing,1,178.31,178.31,2026-07-27,cancelled
ORD00156,Lindsey Hernandez,aguilardonald@example.com,Force Plus,toys,5,308.72,1543.6,2026-08-07,completed
ORD00157,Jenna Larson,collinsnicholas@example.com,Tax Pro,clothing,3,352.84,1058.52,2026-05-23,cancelled
ORD00158,Theresa Osborn,lucasrodney@example.com,Affect Max,toys,4,39.44,157.76,2026-06-13,completed
ORD00159,Daniel Meza,ilee@example.org,Bank Plus,home,2,188.18,376.36,2026-06-07,cancelled
ORD00160,Katie Fernandez,stanleynancy@example.net,Catch Pro,clothing,2,378.45,756.9,2026-07-04,completed
ORD00161,Christopher Schwartz,jenniferwilliams@example.com,Require Plus,toys,4,210.02,840.08,2026-07-15,pending
ORD00162,Lisa Goodwin,pyoung@example.com,Table Lite,sports,5,245.88,1229.4,2026-07-21,cancelled
ORD00163,Cheyenne Gregory,smurray@example.com,Morning Pro,clothing,3,472.94,1418.82,2026-06-28,pending
ORD00164,Ruth Solis,moniquewilliams@example.com,Two Plus,sports,4,91.97,367.88,2026-06-14,refunded
ORD00165,Michelle Black,mitchellkathryn@example.com,Listen Lite,electronics,4,431.57,1726.28,2026-08-01,completed
ORD00166,Jeffrey Potts,lisawilkerson@example.org,Join Lite,toys,4,288.83,1155.32,2026-05-16,refunded
ORD00167,Cynthia Vang,jeffrey51@example.net,Rate Max,toys,4,416.85,1667.4,2026-06-11,cancelled
ORD00168,Andrew Lowery,ihorton@example.net,Manager,books,5,43.93,219.65,2026-06-21,cancelled
ORD00169,Bobby Scott,anaacosta@example.net,Land Pro,toys,1,267.65,267.65,2026-05-22,pending
ORD00170,Eric Williams,nfowler@example.com,At Max,clothing,1,77.49,77.49,2026-05-21,pending
ORD00171,Linda Smith,jennifercarter@example.org,Possible Pro,clothing,4,234.66,938.64,2026-06-12,refunded
ORD00172,Chelsea Barnett,carlos88@example.net,Stop,home,3,79.72,239.16,2026-08-08,completed
ORD00173,Jeanette Harrison,qzavala@example.net,Admit,electronics,3,256.13,768.39,2026-06-13,cancelled
ORD00174,David Sandoval,ingramjill@example.com,Cell Lite,electronics,1,309.43,309.43,2026-05-15,refunded
ORD00175,Robin Thompson,epollard@example.net,Court Pro,books,5,327.66,1638.3,2026-07-24,cancelled
ORD00176,Ricardo Ellis,james30@example.com,Worker Plus,electronics,3,491.28,1473.84,2026-06-08,completed
ORD00177,Robert Kennedy,mullinsjames@example.com,Training Plus,books,5,263.76,1318.8,2026-07-21,pending
ORD00178,Evelyn Martinez,samuel67@example.com,Group Lite,sports,5,30.92,154.6,2026-08-07,cancelled
ORD00179,Jonathan Glass MD,acostachristian@example.net,Test Lite,home,5,437.27,2186.35,2026-05-28,cancelled
ORD00180,Brian Murphy,kirk96@example.org,Road Lite,sports,4,68.83,275.32,2026-06-20,completed
ORD00181,Nicholas Buck,yhill@example.org,Bad Max,sports,-1,51.26,256.3,2026-07-11,refunded
ORD00182,Jose Brady,stephaniethomas@example.net,Resource Max,home,4,100.04,400.16,2026-07-21,pending
ORD00183,Austin Osborne,michael90@example.net,Class,toys,5,23.69,118.45,2026-07-12,cancelled
ORD00184,Jacqueline Hines,alyssasanders@example.net,Family Max,clothing,2,416.52,833.04,2026-06-03,pending
ORD00185,Noah Porter,hmcintyre@example.com,Stage Max,books,5,146.04,730.2,2026-06-04,refunded
ORD00186,Zachary Mitchell,igonzalez@example.org,Live Plus,clothing,3,340.76,1022.28,2026-05-27,refunded
ORD00187,Yolanda Cochran,elizabeth18@example.net,Fill,books,2,409.36,818.72,2026-07-31,pending
ORD00188,Michelle Ho,laurahicks@example.org,Deep Lite,toys,1,357.14,357.14,2026-07-22,completed
ORD00189,Johnny Ward,tanner82@example.net,Usually,clothing,4,50.4,201.6,2026-05-19,pending
ORD00190,Zachary Higgins,khammond@example.org,Car Plus,electronics,4,253.49,1013.96,2026-08-07,pending
ORD00191,Joanna Frazier,david89@example.org,Special Lite,electronics,3,396.73,1190.19,2026-08-06,pending
ORD00192,Thomas Brown,holmeskevin@example.org,Future Max,sports,-1,227.06,908.24,2026-08-04,completed
ORD00193,Travis Stone,meghan43@example.net,Ok Max,toys,5,266.25,1331.25,2026-06-05,completed
ORD00194,Lisa Davis,brittanycarpenter@example.org,Reason Max,books,5,231.27,1156.35,2026-07-07,completed
ORD00195,Gail Bradshaw,bryananthony@example.org,Put,toys,2,360.68,721.36,2026-07-20,cancelled
ORD00196,Daniel Armstrong,jimenezcourtney@example.com,Quality Plus,clothing,1,264.12,264.12,2026-08-06,cancelled
ORD00197,Dr. Michael Evans,barkereric@example.com,Member,toys,1,198.27,198.27,2026-06-22,refunded
ORD00198,Charles Hensley,jessica56@example.org,Soon Pro,home,1,175.68,175.68,2026-06-14,completed
ORD00199,Emma Owens,shannon21@example.org,Fill Pro,home,5,172.58,862.9,2026-08-05,pending
ORD00200,Jennifer Estes,lisapeck@example.net,Form Plus,sports,2,406.69,813.38,2026-05-29,completed
ORD00201,Zachary Owens,tyler16@example.net,Lot Max,electronics,2,443.47,886.94,2026-08-07,cancelled
ORD00202,Harry Williams,pharper@example.net,Many,books,3,23.13,69.39,2026-06-06,pending
ORD00203,Brian Anderson,jessica65@example.org,Institution Lite,home,1,400.67,400.67,2026-05-16,refunded
ORD00204,Heidi Roberts,wgordon@example.net,Far Plus,home,2,250.62,501.24,2026-07-25,refunded
ORD00205,Lisa Anderson,longlaura@example.com,Open Pro,sports,4,44.07,176.28,2026-08-04,pending
ORD00206,Christina Hicks,williamsderrick@example.com,Summer Lite,home,4,303.3,1213.2,2026-06-23,refunded
ORD00207,Larry Robertson,sarah52@example.com,Practice Lite,toys,4,140.9,563.6,2026-07-17,completed
ORD00208,George Clayton,terickson@example.com,Team Max,electronics,2,425.09,850.18,2026-05-13,refunded
ORD00209,Brian Butler,laura09@example.com,Evidence Lite,home,4,474.99,1899.96,2026-08-07,completed
ORD00210,Paula Lane,silvageorge@example.net,Set Lite,books,1,289.09,289.09,2026-07-06,cancelled
ORD00211,Brittany Becker,armstrongjackie@example.org,After Pro,electronics,2,252.03,504.06,2026-06-20,refunded
ORD00212,Jason Harris,vsalas@example.net,Assume Plus,clothing,5,146.36,731.8,2026-07-14,refunded
ORD00213,Kristina Bolton,ufox@example.org,Machine Max,sports,4,498.64,1994.56,2026-08-02,cancelled
ORD00214,Hector Ingram,chelsea33@example.com,Open Lite,home,2,357.35,714.7,2026-06-07,pending
ORD00215,Vickie Wise,hannahburns@example.com,Happy Max,clothing,2,396.23,792.46,2026-07-01,completed
ORD00216,Mikayla Roberts,zhuang@example.com,Spring,clothing,5,442.7,2213.5,2026-07-23,completed
ORD00217,Dwayne Klein,sandra47@example.org,Defense,books,4,412.55,1650.2,2026-07-25,completed
ORD00218,Justin Nelson,gilbertbrenda@example.org,Apply Plus,sports,5,175.53,877.65,2026-07-11,pending
ORD00219,Margaret Williams,erivera@example.org,Responsibility Pro,electronics,5,80.74,403.7,2026-07-20,pending
ORD00220,Joshua Hickman,edelgado@example.com,Rather,home,1,129.05,129.05,2026-05-29,cancelled
ORD00221,Erica Brewer,pearsonjesse@example.net,Several,sports,2,297.95,595.9,2026-07-27,pending
ORD00222,Thomas Butler,sarahjohnson@example.com,Store Lite,toys,1,413.49,413.49,2026-06-25,completed
ORD00223,Tonya Howe,smithashley@example.org,Without Lite,sports,2,384.64,769.28,2026-08-08,refunded
ORD00224,William Daniels,ismall@example.net,Management,home,3,244.06,732.18,2026-06-05,refunded
ORD00225,Erin Simon,jennifer05@example.com,Out Plus,books,4,234.9,939.6,2026-07-11,cancelled
ORD00226,Levi Fowler,gwilcox@example.com,Before Lite,books,2,381.53,763.06,2026-06-17,completed
ORD00227,William Woods,adamreyes@example.com,Some Max,clothing,1,30.05,30.05,2026-06-05,refunded
ORD00228,Kevin Berry,desiree30@example.net,By Max,home,5,361.96,1809.8,2026-06-22,pending
ORD00229,Michael Leblanc,hannah45@example.net,Do Plus,home,4,16.47,65.88,2026-05-31,refunded
ORD00230,Christian Adkins,robert87@example.net,Suffer Lite,electronics,-1,144.27,144.27,2026-07-10,refunded
ORD00231,David Fischer,foxallison@example.com,Bank Max,home,3,383.11,1149.33,2026-08-02,cancelled
ORD00232,Ronald Leach,ashleyhernandez@example.com,Too Lite,toys,3,41.4,124.2,2026-06-27,refunded
ORD00233,Daniel Aguilar,nolansean@example.org,Long,electronics,2,487.67,975.34,2026-05-23,refunded
ORD00234,Justin Hansen,jennifer64@example.org,Skill Lite,clothing,2,303.22,606.44,2026-05-31,refunded
ORD00235,Jeff Graves,michaelcesar@example.com,Almost Lite,books,5,231.21,1156.05,2026-06-06,pending
ORD00236,Chad May,ybrooks@example.com,True,sports,3,298.89,896.67,2026-08-02,refunded
ORD00237,Bobby Brandt,desireebailey@example.org,Note Lite,home,1,490.05,490.05,2026-06-16,cancelled
ORD00238,William Davenport,goodsteven@example.net,Off Pro,toys,4,136.44,545.76,2026-06-19,pending
ORD00239,David Murray,joshuapineda@example.net,Southern,books,2,411.72,823.44,2026-05-22,pending
ORD00240,Jennifer Miranda,allencarlos@example.net,Along Pro,books,3,212.3,636.9,2026-06-21,refunded
ORD00241,Shelby Sanchez,moralesjimmy@example.org,Somebody Plus,sports,1,354.36,354.36,2026-07-28,pending
ORD00242,Jonathan Roberts,barbara53@example.com,Under Plus,home,2,232.53,465.06,2026-05-24,cancelled
ORD00243,Connie Turner,hawkinsbrittany@example.net,Which Lite,toys,4,100.17,400.68,2026-05-27,pending
ORD00244,Kristi Williams,shelly68@example.com,Same Lite,home,2,346.67,693.34,2026-06-18,refunded
ORD00245,James Webster,oallen@example.com,Toward Lite,home,1,288.87,288.87,2026-07-14,refunded
ORD00246,Suzanne Hart,igrant@example.com,Eight Max,home,1,147.38,147.38,2026-06-03,completed
ORD00247,Bob Cole,christopher30@example.com,Huge Plus,clothing,2,414.84,829.68,2026-07-11,cancelled
ORD00248,Shelly Lopez,timothybooth@example.com,Floor,sports,5,123.44,617.2,2026-08-06,completed
ORD00249,Timothy Hayden,burgesskaren@example.org,Safe Pro,electronics,4,168.5,,2026-07-05,refunded
ORD00250,Thomas Arnold,oscar85@example.com,Every,clothing,4,328.18,1312.72,2026-06-13,refunded
ORD00251,Julie Lang,ugill@example.org,Hospital Lite,home,1,454.43,454.43,2026-06-09,completed
ORD00252,Sean Figueroa,greensarah@example.net,Service Pro,clothing,4,441.71,1766.84,2026-06-18,pending
ORD00253,Gary James,victorpena@example.net,Green Plus,clothing,3,438.99,1316.97,2026-06-04,completed
ORD00254,Tracy May,umurray@example.com,Condition Lite,home,4,494.6,1978.4,2026-05-24,refunded
ORD00255,Catherine Preston,warrenmary@example.org,You Lite,clothing,1,168.69,,2026-07-24,refunded
ORD00256,Aaron Taylor,carloshernandez@example.org,Mouth Lite,home,5,338.83,1694.15,2026-06-22,pending
ORD00257,Mark Peck,bhopkins@example.org,Night Plus,toys,3,47.94,143.82,2026-06-30,completed
ORD00258,Joseph Hill,andre62@example.org,Why Max,electronics,3,194.87,584.61,2026-05-20,refunded
